Site ID,Season,Mussel Species,Plant Species,Sample ID,Material_Ag,Material,Treatment,Flag,CNS Run,CNS Tray,Weight (mg),N2 Area,δ15N At. Air,%N,CO2 Area,δ13C VPDB,%C,SO2 Area,δ34S VCDT,%S,HO Run,HO Tray,weight (mg),H2 Amp,%H,δ2H vs. VSMOW,CO Amp,%O,δ18O vs. VSMOW,Notes
EELR,,,Corn Leaf,ER Corn,Corn,Riparian Vegetation,none,,,"Tray 18, 10, 11",3.337,0.0138,2.4298,2.8578,0.7165,-12.4552,45.8933,0.0027,2.9912,0.2608,,"Tray 3, 19, 20",0.357,1514,6.0688,-67.7957,3581,42.7182,25.336,
EELR,,,Grass,ER Grasses,Riparian Vegetation,Riparian Vegetation,none,,,"Tray 18, 10, 11",3.224,0.0173,6.9554,3.7011,0.714,-31.2183,47.3372,0.0046,-8.3968,0.4644,,"Tray 3, 19, 20",0.428,1822,6.0636,-98.9064,3788,37.5201,19.6817,"HO: well empty, filled from loose sample"
EELR,,,Grass,ER Grasses-1,Riparian Vegetation,Riparian Vegetation,none,no chemistry,,,,,,,,,,,,,,,,,,,,,,
EELR,,,Hackberry,ER Common Hackberry,Riparian Vegetation,Riparian Vegetation,none,,,"Tray 18, 10, 11",4.013,0.0141,3.4467,2.4347,0.7948,-27.9887,42.3346,0.002,-6.0525,0.1615,,"Tray 3, 19, 20",0.361,1375,5.4681,-56.8112,3359,39.2657,21.9526,
EELR,,,Soybean Leaf,ER Soybean,Soy,Riparian Vegetation,none,,,"Tray 18, 10, 11",3.747,0.0325,-0.9921,5.9838,0.043,-27.1193,2.4515,0.004,4.5201,0.3442,,"Tray 3, 19, 20",0.452,2114,6.6517,-128.243,4078,37.6979,20.2738,
EELR,,,Sycamore,ER A. Sycamore,Riparian Vegetation,Riparian Vegetation,none,,,"Tray 18, 10, 11",3.835,0.0132,3.8621,2.3832,0.8072,-28.5567,44.9856,0.0054,-8.4288,0.4597,,"Tray 3, 19, 20",0.398,1926,6.9233,-104.0691,4153,43.9786,21.2215,"HO: well empty, filled from loose sample"
EELR,,,Sycamore,ER A. Sycamore-1,Riparian Vegetation,Riparian Vegetation,none,no chemistry,,,,,,,,,,,,,,,,,,,,,,
EELR,,,Water Willow,ER Water Willow,Riparian Vegetation,Riparian Vegetation,none,,,"Tray 18, 10, 11",3.435,0.0285,13.7972,5.7344,0.7337,-30.9604,45.6517,0.0046,-10.3497,0.4371,,"Tray 3, 19, 20",0.44,1872,6.0603,-111.9395,3776,36.1959,16.505,"HO: well empty, filled from loose sample"
EELR,,,Water Willow,ER Water willow-1,Riparian Vegetation,Riparian Vegetation,none,no chemistry,,,,,,,,,,,,,,,,,,,,,,
EELR,,,Water Willow,ER Water willow-2,Riparian Vegetation,Riparian Vegetation,none,no chemistry,,,,,,,,,,,,,,,,,,,,,,
EELR,Summer,Asian Clam,,ER-AC-01,Mussel Tissue,Mussel Tissue,none,,,,,,,,,,,,,,,Tray 6b and 7a,0.422,1203,5.9116,-121.7827,7322,29.3443,15.2387,
EELR,Summer,Asian Clam,,ER-AC-04,Mussel Tissue,Mussel Tissue,none,,,,,,,,,,,,,,,Tray 6b and 7a,0.382,1135,6.1864,-90.2861,6118,25.9877,12.8289,
EELR,Summer,Asian Clam,,ER-AC-07,Mussel Tissue,Mussel Tissue,none,,,,,,,,,,,,,,,Tray 6b and 7a,0.424,1322,6.4525,-116.9609,6827,26.3372,13.4131,
EELR,Fall,Asian Clam,,ERAC-01,Mussel Tissue,Mussel Tissue,none,,,Tray 1a,1.085,0.0169,15.4292,7.6436,0.3295,-29.6423,39.0409,0.0081,4.019,1.1505,,,,,5.91,-121.78,0.33,29.34,15.24,
EELR,Fall,Asian Clam,,ERAC-07,Mussel Tissue,Mussel Tissue,none,,,Tray 1a,0.946,0.016,14.4243,8.3086,0.3085,-29.4242,41.9207,0.0083,1.1779,1.3525,,,,,6.45,-116.96,0.309,26.34,13.41,
EELR,Fall,Asian Clam,,ERAC04,Mussel Tissue,Mussel Tissue,none,,,Tray 1a,1.203,0.0185,13.2368,7.5585,0.3537,-30.1538,37.7878,0.0107,-1.0359,1.3688,,,,,,,0.354,,,
EELR,Summer,Asian Clam,,ER-AC-10-SP,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,10.9233,7.4525,,-32.4976,46.9984,,,,,,,,7.58,-115.94,3463,36.12,18.74,
EELR,Summer,Asian Clam,,ER-AC-09-SP,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,10.535,7.4627,,-32.3556,45.8923,,-8.4,0.47,,,,,6.46,-112.56,3549,29.64,20.71,
EELR,Summer,Asian Clam,,ER-AC-02-SP,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,10.7919,7.486,,-32.3927,46.8793,,,,,,,,6.96,-116.99,3551,33.48,18.63,
EELR,Summer,Asian Clam,,ER-AC-08-SP,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,10.6211,8.5289,,-32.0148,47.2908,,-10.08,0.87,,,,,6.23,-115.84,3452,29.3,17.91,
EELR,Summer,Fatmucket,,ER-FM-10-SP,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.7505,6.5953,,-31.9359,35.1096,,,,,,,,6.52,-102.69,3570,38.71,16.14,
EELR,Summer,Fatmucket,,ER-FM-09-SP,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.4377,7.388,,-32.079,41.9507,,,,,,,,6.24,-108.27,3829,36.23,18.09,
EELR,Summer,Fatmucket,,ER-FM-07-SP,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.6458,7.2562,,-31.0412,32.4671,,-9.7,0.96,,,,,4.91,-105.17,4110,28.03,11.43,
EELR,Summer,Fatmucket,,ER-FM-08-SP,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.8631,5.452,,-32.5387,33.7467,,-10.99,0.71,,,,,6.63,-104.77,4557,40.41,18.2,
EELR,Summer,Fatmucket,,ER-FM-06-SP,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,12.0344,8.5599,,-32.6161,40.8528,,-11.44,0.75,,,,,6.18,-104.42,4703,34.42,15.22,
EELR,Summer,Fatmucket,,ER-FM-04-SP,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.3193,6.7211,,-32.1068,37.6197,,-9.98,0.76,,,,,6.27,-102.26,4745,35.32,17.36,
